Shear strain (%), Vert strain (%), Shear stress (atm), Shear stress ratio, Vert eff stress (atm), Vert eff stress ratio
8.746, -0.0112959, 3.77801, 0.639875, 5.90435, 236.138
8.756, -0.0113132, 3.78344, 0.639818, 5.91335, 236.498
8.766, -0.0113305, 3.78886, 0.639762, 5.92236, 236.858
8.776, -0.0113478, 3.79429, 0.639705, 5.93136, 237.218
8.786, -0.0113651, 3.79971, 0.639648, 5.94037, 237.579
8.796, -0.0113824, 3.80513, 0.639591, 5.94937, 237.939
8.806, -0.0113997, 3.81055, 0.639534, 5.95838, 238.299
8.816, -0.011417, 3.81598, 0.639478, 5.96738, 238.659
8.826, -0.0114343, 3.8214, 0.639421, 5.97639, 239.02
8.836, -0.0114516, 3.82682, 0.639365, 5.98539, 239.38
8.846, -0.0114689, 3.83223, 0.639308, 5.9944, 239.74
8.856, -0.0114862, 3.83765, 0.639252, 6.0034, 240.1
8.866, -0.0115035, 3.84307, 0.639195, 6.01241, 240.46
8.876, -0.0115208, 3.84849, 0.639139, 6.02142, 240.821
8.886, -0.0115381, 3.8539, 0.639082, 6.03042, 241.181
8.896, -0.0115554, 3.85932, 0.639026, 6.03943, 241.541
8.906, -0.0115727, 3.86473, 0.63897, 6.04843, 241.901
8.916, -0.01159, 3.87014, 0.638913, 6.05744, 242.262
8.926, -0.0116073, 3.87556, 0.638857, 6.06645, 242.622
8.936, -0.0116246, 3.88097, 0.638801, 6.07545, 242.982
8.946, -0.0116419, 3.88638, 0.638745, 6.08446, 243.342
8.956, -0.0116592, 3.89179, 0.638689, 6.09346, 243.702
8.966, -0.0116765, 3.8972, 0.638633, 6.10247, 244.063
8.976, -0.0116938, 3.90261, 0.638577, 6.11147, 244.423
8.986, -0.0117111, 3.90802, 0.638521, 6.12048, 244.783
8.996, -0.0117284, 3.91342, 0.638465, 6.12948, 245.143
9.006, -0.0117457, 3.91883, 0.638409, 6.13849, 245.503
9.016, -0.011763, 3.92424, 0.638353, 6.14749, 245.864
9.026, -0.0117803, 3.92964, 0.638298, 6.15649, 246.224
9.036, -0.0117976, 3.93504, 0.638242, 6.1655, 246.584
9.046, -0.0118149, 3.94045, 0.638186, 6.1745, 246.944
9.056, -0.0118322, 3.94585, 0.63813, 6.18351, 247.304
9.066, -0.0118495, 3.95125, 0.638075, 6.19251, 247.664
9.076, -0.0118667, 3.95665, 0.638019, 6.20151, 248.024
9.086, -0.011884, 3.96205, 0.637964, 6.21052, 248.385
9.096, -0.0119013, 3.96745, 0.637908, 6.21952, 248.745
9.106, -0.0119186, 3.97285, 0.637853, 6.22852, 249.105
9.116, -0.0119359, 3.97824, 0.637797, 6.23752, 249.465
9.126, -0.0119532, 3.98364, 0.637742, 6.24653, 249.825
9.136, -0.0119705, 3.98903, 0.637687, 6.25553, 250.185
9.146, -0.0119878, 3.99443, 0.637632, 6.26453, 250.545
9.156, -0.0120051, 3.99982, 0.637576, 6.27353, 250.905
9.166, -0.0120224, 4.00521, 0.637521, 6.28253, 251.265
9.176, -0.0120397, 4.0106, 0.637466, 6.29153, 251.625
9.186, -0.012057, 4.01599, 0.637411, 6.30053, 251.985
9.196, -0.0120742, 4.02138, 0.637356, 6.30953, 252.345
9.206, -0.0120915, 4.02677, 0.637301, 6.31853, 252.705
9.216, -0.0121088, 4.03216, 0.637246, 6.32753, 253.065
9.226, -0.0121261, 4.03754, 0.637191, 6.33653, 253.425
9.236, -0.0121434, 4.04293, 0.637136, 6.34552, 253.785
9.246, -0.0121607, 4.04831, 0.637081, 6.35452, 254.145
9.256, -0.012178, 4.05369, 0.637026, 6.36352, 254.505
9.266, -0.0121952, 4.05908, 0.636972, 6.37252, 254.865
9.276, -0.0122125, 4.06446, 0.636917, 6.38151, 255.225
9.286, -0.0122298, 4.06984, 0.636862, 6.39051, 255.584
9.296, -0.0122471, 4.07522, 0.636808, 6.3995, 255.944
9.306, -0.0122644, 4.0806, 0.636753, 6.4085, 256.304
9.316, -0.0122816, 4.08597, 0.636698, 6.41749, 256.664
9.326, -0.0122989, 4.09135, 0.636644, 6.42649, 257.024
9.336, -0.0123162, 4.09672, 0.636589, 6.43548, 257.383
